query,answer
"Given a 5-month-old formula-fed infant presenting with 2 days of watery diarrhea and 1 day of irritability, who has been receiving WHO ORS at home, and exhibits markedly irritable behavior, doughy skin, and a rapid pulse on examination, what is the most likely diagnosis?",Hypernatremic dehydration secondary to acute gastroenteritis
50-year-old male with early-stage squamous cell cancer of the anal canal and >60% chance of cure – best treatment option for optimal outcomes?,"Definitive concurrent chemoradiotherapy (Nigro protocol) – 5‑fluorouracil + mitomycin C with intensity‑modulated radiation therapy (45–50.4 Gy), which yields >80% cure rates while preserving sphincter function."
"An 18-year-old male presents with paranoia, anxiety, thirst, conjunctival injection, slowed reflexes, and minor injuries from a slow-driving accident. Confiscated contraband was found in his vehicle. What substance did he most likely use?",Cannabis
"21F with dysuria, vaginal itching, green-yellow malodorous discharge, vulvar erythema, strawberry cervix. Identify causal organism.",E. Trichomonas vaginalis
"True findings in primary aldosteronism: a) Pedal edema, b) Increased renin, c) Increased Na+, d) Decreased K+, e) Hypertension",C. cde
"15F with 2-month menorrhagia, wt 40kg, BP 120/80. Which inv not indicated? A.TSH B.Platelet C.Bleeding/clot time D.Estradiol",D. Estradiol levels
"MBBS student she was choking with dyspnea, chest tightness, anxiety and an impending sense of doom on examination all systemic conditions were found normal, then she went to psychiatry. What is the probable diagnosis of the condition? A. Panic disorder B. Depression C. Epilepsy D. Asthma",A. Panic disorder
"According to U.S. Food and Drug Administration (FDA) classification, under which regulatory classes must a dental implant conform?","Dental implants are classified as **Class II medical devices** by the U.S. Food and Drug Administration (FDA) under 21 CFR 872.3640 (Product code: BTR). As Class II devices, dental implants must conform to FDA's general controls plus special controls, which typically include 510(k) clearance requirements, performance standards, post-market surveillance, and specific labeling requirements. Note that individual components of dental implant systems (such as abutments or healing caps) may have separate classifications."
"A 10-day-old, 1500-g male newborn born at 32 weeks gestation presents with poor feeding, frequent vomiting, lethargy, and abdominal rebound tenderness. Given these symptoms, along with abnormal lab results and a hard abdomen, what is the most appropriate treatment to address the underlying condition?","Immediate bowel rest (NPO), nasogastric decompression, intravenous fluid resuscitation, and broad‑spectrum IV antibiotics (e.g., ampicillin, gentamicin, and metronidazole) with surgical consultation for possible laparotomy if the condition worsens."
"A 23-year-old man with headache, palpitations, excessive sweating, family history of clear cell renal cell carcinoma and retinal hemangioblastomas, hypertension, and an abdominal mass. Which chromosome mutation is most likely responsible?",Chromosome 3
"A 41-year-old male schoolteacher who is a nonsmoker presents with symptoms of lightheadedness, increased shortness of breath, lack of stamina, and chest pain. He has a BMI of 33 and his cardiovascular examination reveals a left parasternal heave, a harsh grade 3/6 systolic flow murmur, and a loud P2 sound. Given these findings, what is the most likely underlying medical condition affecting this patient?",Pulmonary hypertension (likely secondary to obesity-related hypoventilation/obstructive sleep apnea).
"48M, smoker, family history of diabetes (brother on metformin, father on insulin) and CVD (father stroke), obese (BMI 34). Initial BP 170/90 and 168/89 (stage 2 HTN), follow-up BP 155/94 (stage 1 HTN per JNC 8). Goal BP <140/90 (age <60). Lifestyle modifications: 1.8 kg weight loss, BP still elevated. What is next step?",B. Prescribe lisinopril
Which drug is contraindicated for a patient with a sulfa allergy who is experiencing an acute attack of angle closure glaucoma?,Acetazolamide
"A 54-year-old man develops persistent right knee pain and swelling 6 months after a total knee replacement due to osteoarthritis. With a high leukocyte count and positive blood cultures growing gram-positive, catalase-positive cocci on mannitol salt agar without a color change, what is the most important factor for this organism's virulence?","Biofilm formation (mediated by polysaccharide intercellular adhesin, icaADBC operon)"
"Neonate 29 weeks, C-section, respiratory distress, chest X-ray ground glass, air bronchograms, poor expansion – appropriate treatment plan?","Administer early surfactant therapy (e.g., poractant alfa 200 mg/kg) via brief intubation or less‑invasive technique, then extubate to nasal CPAP; provide supplemental oxygen to keep SpO2 90‑95%, ensure thermoregulation and nutrition, monitor blood gases and repeat chest X‑ray, and consider caffeine for apnea prophylaxis."
"In the context of a heart transplant patient, which drug is least likely to cause tachycardia among those that might be prescribed for cardiovascular support?",Vasopressin
"50-year-old man with HTN and T2DM, acute severe headache, nausea, vomiting, right hemiparesis, CT hyperdense lesion with edema left hemisphere → most likely cause?",Hypertensive intracerebral hemorrhage (hypertensive hemorrhagic stroke)
After how many years from the onset of type 1 diabetes should screening for nephropathy begin in prepubertal children?,5 years after onset
A patient presents with a lower gastrointestinal bleed and a sigmoidoscopy reveals an ulcer in the sigmoid colon. A biopsy from this area shows characteristic flask-shaped ulcers. What is the most appropriate treatment for this condition?,"Tinidazole (or metronidazole) followed by a luminal amebicide (e.g., paromomycin, diloxanide furoate)"
"HSV-2 infection characteristics, primary infection nature, recurrence causes, complications, neonatal transmission modes, and treatment options","**HSV-2 Infection Overview:**

**Primary Infection:**
- Initial outbreak typically occurs 2-20 days after exposure
- Symptoms include painful genital vesicles/ulcers, fever, headache, malaise, and tender lymphadenopathy
- Lesions may take 2-4 weeks to heal completely
- Often more severe than recurrences with systemic symptoms

**Recurrent Attacks:**
- HSV-2 establishes lifelong latency in sacral sensory ganglia after primary infection
- Triggers include physical/emotional stress, illness, UV radiation, hormonal changes (menstruation), immunosuppression, friction/traura to affected area
- Prodrome (tingling, itching) often precedes lesions by hours to days
- Recurrences typically shorter (7-10 days) and less severe than primary infection
- Frequency usually decreases over time (average 4-6 recurrences/year initially)

**Complications:**
- Secondary bacterial infection of lesions
- Aseptic meningitis (more common with primary infection)
- Rarely encephalitis
- Increased risk of HIV acquisition (2-3 fold higher)
- Neonatal herpes (see below)
- Psychological impact: anxiety, depression, relationship concerns
- In immunocompromised patients: disseminated disease, esophagitis, pneumonitis

**Neonatal Transmission:**
- **Intrauterine** (rare): causes congenital herpes, stillbirth, or severe neonatal disease
- **Peripartum** (most common, 85%): exposure to infected genital secretions during vaginal delivery; highest risk with primary maternal infection near delivery
- **Postpartum** (rare): contact with oral lesions from caregivers
- **Prevention:** Cesarean delivery recommended for women with active genital lesions or prodromal symptoms at delivery

**Treatment Options:**
- **Antiviral medications** (most effective):
  - *Acyclovir* (400mg 2-3x daily or 200mg 5x daily)
  - *Valacyclovir* (500mg-1g daily; more bioavailable prodrug)
  - *Famciclovir* (250mg 2x daily)
- **Suppressive therapy:** Daily antiviral treatment reduces recurrence frequency by 70-80% and genital herpes transmission to uninfected partners by ~50%
- **Acute outbreak treatment:** 7-10 day course starting within 1 day of lesion onset
- **Topical acyclovir:** Minimal benefit, not recommended as monotherapy
- No cure exists; treatment suppresses symptoms and reduces transmission risk"
